label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
rtt250ms/loss0.5pct/old,bigcurl-auto,2,8.258,3.875,0.36,0.52,1,0,33554432
rtt250ms/loss0.5pct/old,bigcurl-8,3,12.164,2.631,0.29,0.39,1,0,33554432
rtt250ms/loss0.5pct/old,bigcurl-auto,3,5.713,5.602,0.38,0.53,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-8,1,11.830,2.705,0.26,0.39,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-auto,1,7.781,4.112,0.44,0.60,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-8,2,13.502,2.370,0.24,0.38,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-auto,2,9.057,3.533,0.35,0.58,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-8,3,12.241,2.614,0.27,0.39,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-auto,3,12.194,2.624,0.38,0.52,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-8,1,15.048,2.126,0.31,0.44,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-auto,1,7.092,4.512,0.43,0.59,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-8,2,12.271,2.608,0.31,0.36,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-auto,2,6.205,5.158,0.45,0.58,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-8,3,12.758,2.508,0.28,0.42,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-auto,3,8.267,3.871,0.45,0.58,1,0,33554432
rtt250ms/loss0.5pct/old,bigcurl-auto,4,8.212,3.897,0.49,0.65,1,0,33554432
rtt250ms/loss0.5pct/old,bigcurl-auto,5,7.425,4.310,0.38,0.54,1,0,33554432
rtt250ms/loss0.5pct/old,bigcurl-auto,6,11.581,2.763,0.45,0.58,1,0,33554432
rtt250ms/loss0.5pct/old,bigcurl-auto,7,7.200,4.444,0.42,0.53,1,0,33554432
rtt250ms/loss0.5pct/old,bigcurl-auto,8,9.516,3.363,0.44,0.62,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-auto,4,15.056,2.125,0.42,0.60,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-auto,5,10.849,2.950,0.44,0.55,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-auto,6,12.075,2.650,0.36,0.55,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-auto,7,11.417,2.803,0.41,0.62,1,0,33554432
rtt250ms/loss0.5pct/tip,bigcurl-auto,8,10.156,3.151,0.43,0.60,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-auto,4,9.314,3.436,0.46,0.60,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-auto,5,7.648,4.184,0.46,0.63,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-auto,6,7.771,4.118,0.44,0.54,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-auto,7,8.913,3.590,0.44,0.59,1,0,33554432
rtt250ms/loss0.5pct/fixed,bigcurl-auto,8,8.599,3.721,0.49,0.60,1,0,33554432
