label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
rtt25ms/loss0pct,bigcurl-auto,1,1.575,20.314,0.41,0.59,1,0,33554432
rtt25ms/loss0pct,curl,2,1.577,20.294,0.02,0.10,1,0,33554432
rtt25ms/loss0pct,aria2-8,2,1.634,19.579,0.07,0.18,1,0,33554432
rtt25ms/loss0pct,axel-8,2,1.706,18.759,0.04,0.33,1,0,33554432
rtt25ms/loss0pct,bigcurl-8,2,1.719,18.620,0.18,0.34,1,0,33554432
rtt25ms/loss0pct,bigcurl-16,2,1.660,19.283,0.34,0.54,1,0,33554432
rtt25ms/loss0pct,bigcurl-auto,2,1.568,20.405,0.38,0.55,1,0,33554432
rtt25ms/loss0pct,curl,3,1.577,20.296,0.01,0.08,1,0,33554432
rtt25ms/loss0pct,aria2-8,3,1.640,19.510,0.11,0.24,1,0,33554432
rtt25ms/loss0pct,axel-8,3,1.703,18.786,0.03,0.34,1,0,33554432
rtt25ms/loss0pct,bigcurl-8,3,1.640,19.517,0.21,0.33,1,0,33554432
rtt25ms/loss0pct,bigcurl-16,3,1.586,20.179,0.26,0.50,1,0,33554432
rtt25ms/loss0pct,bigcurl-auto,3,1.567,20.417,0.38,0.53,1,0,33554432
rtt25ms/loss0.1pct,curl,1,1.600,20.001,0.01,0.10,1,0,33554432
rtt25ms/loss0.1pct,aria2-8,1,1.995,16.037,0.11,0.22,1,0,33554432
rtt25ms/loss0.1pct,axel-8,1,1.707,18.749,0.03,0.30,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-8,1,1.664,19.231,0.15,0.29,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-16,1,1.894,16.893,0.31,0.46,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-auto,1,1.906,16.792,0.45,0.65,1,0,33554432
rtt25ms/loss0.1pct,curl,2,1.578,20.278,0.02,0.13,1,0,33554432
rtt25ms/loss0.1pct,aria2-8,2,2.250,14.224,0.10,0.20,1,0,33554432
rtt25ms/loss0.1pct,axel-8,2,1.668,19.185,0.04,0.32,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-8,2,2.064,15.506,0.21,0.41,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-16,2,1.931,16.571,0.32,0.53,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-auto,2,1.868,17.130,0.38,0.51,1,0,33554432
rtt25ms/loss0.1pct,curl,3,3.402,9.407,0.03,0.14,1,0,33554432
rtt25ms/loss0.1pct,aria2-8,3,1.759,18.191,0.12,0.22,1,0,33554432
rtt25ms/loss0.1pct,axel-8,3,1.658,19.304,0.03,0.29,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-8,3,1.969,16.248,0.24,0.40,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-16,3,1.611,19.868,0.24,0.45,1,0,33554432
rtt25ms/loss0.1pct,bigcurl-auto,3,1.736,18.436,0.37,0.63,1,0,33554432
rtt25ms/loss0.5pct,curl,1,13.292,2.407,0.06,0.26,1,0,33554432
rtt25ms/loss0.5pct,aria2-8,1,2.518,12.709,0.13,0.22,1,0,33554432
rtt25ms/loss0.5pct,axel-8,1,2.113,15.146,0.03,0.28,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-8,1,2.953,10.837,0.24,0.34,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-16,1,2.840,11.266,0.29,0.46,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-auto,1,1.756,18.226,0.48,0.56,1,0,33554432
rtt25ms/loss0.5pct,curl,2,13.389,2.390,0.07,0.22,1,0,33554432
rtt25ms/loss0.5pct,aria2-8,2,2.378,13.457,0.11,0.23,1,0,33554432
rtt25ms/loss0.5pct,axel-8,2,2.739,11.685,0.05,0.29,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-8,2,3.449,9.279,0.27,0.41,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-16,2,2.219,14.423,0.34,0.52,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-auto,2,2.256,14.185,0.41,0.62,1,0,33554432
rtt25ms/loss0.5pct,curl,3,20.371,1.571,0.09,0.30,1,0,33554432
rtt25ms/loss0.5pct,aria2-8,3,2.385,13.418,0.11,0.23,1,0,33554432
rtt25ms/loss0.5pct,axel-8,3,1.763,18.149,0.04,0.33,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-8,3,2.833,11.294,0.18,0.33,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-16,3,2.431,13.166,0.25,0.41,1,0,33554432
rtt25ms/loss0.5pct,bigcurl-auto,3,1.894,16.893,0.49,0.62,1,0,33554432
rtt100ms/loss0pct,curl,1,2.266,14.124,0.01,0.09,1,0,33554432
rtt100ms/loss0pct,aria2-8,1,2.941,10.880,0.12,0.23,1,0,33554432
rtt100ms/loss0pct,axel-8,1,3.277,9.764,0.04,0.33,1,0,33554432
rtt100ms/loss0pct,bigcurl-8,1,4.350,7.356,0.29,0.48,1,0,33554432
rtt100ms/loss0pct,bigcurl-16,1,3.403,9.402,0.36,0.61,1,0,33554432
rtt100ms/loss0pct,bigcurl-auto,1,2.336,13.698,0.41,0.64,1,0,33554432
rtt100ms/loss0pct,curl,2,2.261,14.152,0.02,0.09,1,0,33554432
rtt100ms/loss0pct,aria2-8,2,2.971,10.773,0.10,0.23,1,0,33554432
rtt100ms/loss0pct,axel-8,2,3.288,9.731,0.05,0.25,1,0,33554432
rtt100ms/loss0pct,bigcurl-8,2,4.287,7.464,0.24,0.42,1,0,33554432
rtt100ms/loss0pct,bigcurl-16,2,3.401,9.409,0.43,0.61,1,0,33554432
rtt100ms/loss0pct,bigcurl-auto,2,2.378,13.457,0.40,0.58,1,0,33554432
rtt100ms/loss0pct,curl,3,2.262,14.148,0.02,0.10,1,0,33554432
rtt100ms/loss0pct,aria2-8,3,2.922,10.953,0.10,0.18,1,0,33554432
rtt100ms/loss0pct,axel-8,3,3.289,9.730,0.04,0.28,1,0,33554432
rtt100ms/loss0pct,bigcurl-8,3,4.327,7.395,0.29,0.40,1,0,33554432
rtt100ms/loss0pct,bigcurl-16,3,3.500,9.143,0.38,0.58,1,0,33554432
rtt100ms/loss0pct,bigcurl-auto,3,2.096,15.265,0.36,0.50,1,0,33554432
rtt100ms/loss0.1pct,curl,1,2.439,13.122,0.01,0.09,1,0,33554432
rtt100ms/loss0.1pct,aria2-8,1,3.387,9.448,0.11,0.22,1,0,33554432
rtt100ms/loss0.1pct,axel-8,1,3.124,10.242,0.04,0.36,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-8,1,4.750,6.737,0.24,0.46,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-16,1,3.688,8.677,0.32,0.49,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-auto,1,2.901,11.031,0.41,0.53,1,0,33554432
rtt100ms/loss0.1pct,curl,2,3.283,9.746,0.03,0.11,1,0,33554432
rtt100ms/loss0.1pct,aria2-8,2,3.097,10.333,0.11,0.21,1,0,33554432
rtt100ms/loss0.1pct,axel-8,2,3.617,8.848,0.02,0.24,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-8,2,4.427,7.229,0.26,0.46,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-16,2,3.648,8.772,0.43,0.60,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-auto,2,2.627,12.179,0.36,0.54,1,0,33554432
rtt100ms/loss0.1pct,curl,3,8.559,3.739,0.07,0.19,1,0,33554432
rtt100ms/loss0.1pct,aria2-8,3,3.855,8.301,0.11,0.20,1,0,33554432
rtt100ms/loss0.1pct,axel-8,3,3.664,8.734,0.04,0.28,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-8,3,5.283,6.057,0.28,0.43,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-16,3,3.517,9.099,0.38,0.56,1,0,33554432
rtt100ms/loss0.1pct,bigcurl-auto,3,2.881,11.107,0.42,0.61,1,0,33554432
rtt100ms/loss0.5pct,curl,1,29.060,1.101,0.06,0.18,1,0,33554432
rtt100ms/loss0.5pct,aria2-8,1,3.280,9.756,0.09,0.21,1,0,33554432
rtt100ms/loss0.5pct,axel-8,1,4.481,7.142,0.05,0.32,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-8,1,9.195,3.480,0.34,0.45,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-16,1,4.539,7.050,0.32,0.49,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-auto,1,4.724,6.774,0.45,0.54,1,0,33554432
rtt100ms/loss0.5pct,curl,2,2.753,11.625,0.01,0.09,1,0,33554432
