label,conns,reps,spread_cv,straggler,ttfb_cv,agg_mbs,agg_min,agg_max,speedup,span
clean-rtt250-loss0,8,5,0.4419,1.1608,0.0025,15.5400,15.1741,15.9701,4.3332,8388608
lossy-rtt100-loss0.5,8,5,0.5447,2.8704,0.0063,10.7397,9.5591,13.0613,3.7389,2097152
lossy-rtt250-loss0.5,8,5,0.2715,1.7563,0.0032,4.0554,3.8462,4.6416,5.8801,1048576
cpubound-droplet,8,5,0.3002,1.2591,0.0274,106.0707,95.7559,117.0430,1.2460,67108864
starlink-desktop,8,5,0.1827,1.2493,0.1203,6.7239,3.8815,7.9115,4.9863,16777216
