label,conns,reps,spread_cv,straggler,ttfb_cv,agg_mbs,agg_min,agg_max,speedup,span
clean-rtt250-loss0,8,5,0.4416,1.5376,0.0024,15.5220,15.1970,15.6035,4.3279,8388608
lossy-rtt100-loss0.5,8,5,0.5428,2.4026,0.0065,11.8564,9.7863,12.0737,5.1988,2097152
