rtt_ms,loss_pct,tool,rep,seconds,mbps,verified
100,0,h1x8conn,1,45.516,22.50,1
100,0,h2x8stream,1,45.832,22.34,1
100,0,h1x8conn,2,45.794,22.36,1
100,0,h2x8stream,2,46.130,22.20,1
250,0,h1x8conn,1,47.237,21.68,1
250,0,h2x8stream,1,82.986,12.34,1
250,0,h1x8conn,2,47.149,21.72,1
250,0,h2x8stream,2,83.065,12.33,1
